Year,Month,Day,Crop,DistrictName,Season,Sector,StateName,QueryText,KccAns
2016,8,7,Cotton Kapas,FATEHABAD,KHARIF,AGRICULTURE,HARYANA,Information regarding to total dosese of fertilizers in cotton crop ,urea  140kgssp-150 kgpotas-40 kgzinc-10 kgacre
2019,1,15,Other,PANIPAT,,AGRICULTURE,HARYANA,information regarding site for check subsidies,site agriharyanaorg
2021,1,5,Wheat,FARIDABAD,,AGRICULTURE,HARYANA,TELL ME NUTRIENT MANAGEMENT  ,NPK 18:18:18   10         
2013,10,20,Mustard,SIRSA,KHARIF,AGRICULTURE,HARYANA,Information regarding improved varieties of sarson,RH-30RH-0749RH-9801RH-9304T-59RB-50
2014,12,8,Wheat,FATEHABAD,RABI,AGRICULTURE,HARYANA,information regarding control of termite in wheat ,broadcasting of chloropyriphos20 2 litre  2 litre of water25 kg of soilacre
2010,11,27,Wheat,MAHENDRA GARH,KHARIF,AGRICULTURE,HARYANA,information regarding to the fertilizers dose in wheat crop ,to the fertilizers dose in wheat crop is dap-50kgurea-110kgmop-20kgzinc sulphate- 10kgacre
2017,9,12,Mustard,JIND,KHARIF,AGRICULTURE,HARYANA,informaton regarding of varieties of musturd,RH-30  T-59 RH-8113 RB-50 RH 8812 RH 781 RH-819  RH 9304 RH 9801 RH 0406 RB 9901 RH - 0749
2016,6,2,BhindiOkraLadysfinger,KARNAL,KHARIF,HORTICULTURE,HARYANA,SOWING TIME OF BHINDI ,SOWING TIME OF BHINDI FEBUARY - MARCH  JUNE JULY MONTH 
2017,11,26,Mustard,REWARI,,AGRICULTURE,HARYANA,INFORMATION REGARDING OF IRRIGATION TIME IN MUSTERD CROP ,FIRST IRRIGATION IN MUSTERD CROP AT FLOWRING STAGE
2022,9,3,Others,GURGAON,,AGRICULTURE,HARYANA,Haryana State Agricultural Marketing Board,Haryana State Agricultural Marketing BoardC-6 SECTOR - 6PANCHKULAHARYANA  INDIAChief Admin BoardEPABX:     91-172-2560056 2560256 2560143 2560229Website:     wwwhsamborgin Toll Free No 18001802060
2017,1,23,Barseem,AMBALA,RABI,AGRICULTURE,HARYANA,information regarding to fungal in barseem ,control of fungal in barseem - 500 gm bavistin in 200 liter of water per acre
2012,7,31,1137,FARIDABAD,JAYAD,AGRICULTURE,HARYANA,information regarding fertilizer dose in basmati ,urea 80 kg  SSP-75 KG   zinc-10 kg
2009,4,1,Cotton Kapas,GURGAON,JAYAD,AGRICULTURE,HARYANA,INFORMATION REGARDING TO IMPROVED THE VARITIES OF COTTON CROP ,I TOLD THE KISAN TO IMPROVED THE VARITIES OF COTTON CROP IS HHH-223HHH-287H-1117
2023,1,28,Others,KAITHAL,,AGRICULTURE,HARYANA,Information regarding subsidies,        http:agriharyanaorg  http:hortharyanagovinen   https:agriharyanagovin   https:saralharyanagovin    0172-2571553  1800 180 2117   
